category,name,description,status,price_ars,price_cents,source_page,raw_line
ESENCIAS,FLEIBOR ESENCIA FLEIBOR VAINILLA - POTE 1 L,,priced,3300.0,330000,2,"FLEIBOR ESENCIA FLEIBOR VAINILLA - POTE 1 L $3.300,00"
ESENCIAS,FLEIBOR ESENCIA FLEIBOR VAINILLA - BOTELLA 110 ML,,consultar,,,2,FLEIBOR ESENCIA FLEIBOR VAINILLA - BOTELLA 110 ML consultar
ESENCIAS,FLEIBOR ESENCIA FLEIBOR AGUA DE AZAHAR - BOTELLA 30 ML,,consultar,,,2,FLEIBOR ESENCIA FLEIBOR AGUA DE AZAHAR - BOTELLA 30 ML consultar
ESENCIAS,FLEIBOR ESENCIA FLEIBOR ALMENDRAS AMARGAS - BOTELLA 30 ML,,consultar,,,2,FLEIBOR ESENCIA FLEIBOR ALMENDRAS AMARGAS - BOTELLA 30 ML consultar
ESENCIAS,FLEIBOR ESENCIA FLEIBOR LIMÓN - BOTELLA 30 ML,,consultar,,,2,FLEIBOR ESENCIA FLEIBOR LIMÓN - BOTELLA 30 ML consultar
ESENCIAS,FLEIBOR ESENCIA FLEIBOR BANANA - BOTELLA 30 ML,,consultar,,,2,FLEIBOR ESENCIA FLEIBOR BANANA - BOTELLA 30 ML consultar
ESENCIAS,FLEIBOR ESENCIA FLEIBOR FRUTILLA - BOTELLA 30 ML,,consultar,,,2,FLEIBOR ESENCIA FLEIBOR FRUTILLA - BOTELLA 30 ML consultar
ESENCIAS,FLEIBOR ESENCIA FLEIBOR LIMÓN - BOTELLA 30 ML,,consultar,,,2,FLEIBOR ESENCIA FLEIBOR LIMÓN - BOTELLA 30 ML consultar
ESENCIAS,FLEIBOR ESENCIA FLEIBOR MARRÓN - BOTELLA 30 ML,,consultar,,,2,FLEIBOR ESENCIA FLEIBOR MARRÓN - BOTELLA 30 ML consultar
ESENCIAS,FLEIBOR ESENCIA FLEIBOR NARANJA - BOTELLA 30 ML,,consultar,,,2,FLEIBOR ESENCIA FLEIBOR NARANJA - BOTELLA 30 ML consultar
